node_element_id,url
"SourceURL|https://www.health.qld.gov.au/research-reports/research/data-requests,","https://www.health.qld.gov.au/research-reports/research/data-requests,"
"SourceURL|https://www.health.qld.gov.au/research-reports/research/researchers/how-to/confidential-information/apply-for-information,","https://www.health.qld.gov.au/research-reports/research/researchers/how-to/confidential-information/apply-for-information,"
SourceURL|https://keypoint.edu.au/,https://keypoint.edu.au/
"SourceURL|https://www.qcif.edu.au/news/secure-sensitive-data-platform-now-live,","https://www.qcif.edu.au/news/secure-sensitive-data-platform-now-live,"
"SourceURL|https://www.qcif.edu.au/products/keypoint,","https://www.qcif.edu.au/products/keypoint,"
"SourceURL|https://www.health.wa.gov.au/Articles/A_E/data-linkage/How-to-apply-for-data,","https://www.health.wa.gov.au/Articles/A_E/data-linkage/How-to-apply-for-data,"
"SourceURL|https://www.health.wa.gov.au/Articles/A_E/data-linkage/How-to-apply-for-data/data-collections,","https://www.health.wa.gov.au/Articles/A_E/data-linkage/How-to-apply-for-data/data-collections,"
"SourceURL|https://www.health.wa.gov.au/Articles/A_E/data-linkage/How-to-apply-for-data/data-forms,","https://www.health.wa.gov.au/Articles/A_E/data-linkage/How-to-apply-for-data/data-forms,"
"SourceURL|https://www.health.wa.gov.au/articles/a_e/data-linkage,","https://www.health.wa.gov.au/articles/a_e/data-linkage,"
SourceURL|https://www.wa.gov.au/organisation/department-of-the-premier-and-cabinet/office-of-digital-government/peoplewa,https://www.wa.gov.au/organisation/department-of-the-premier-and-cabinet/office-of-digital-government/peoplewa
"SourceURL|https://www.sahealth.sa.gov.au/wps/wcm/connect/public+content/sa+health+internet/resources/provision+of+sa+health+data+via+santdl+process+flow,","https://www.sahealth.sa.gov.au/wps/wcm/connect/public+content/sa+health+internet/resources/provision+of+sa+health+data+via+santdl+process+flow,"
"SourceURL|https://www.santdatalink.org.au/,","https://www.santdatalink.org.au/,"
"SourceURL|https://www.santdatalink.org.au/available_datasets,","https://www.santdatalink.org.au/available_datasets,"
SourceURL|https://www.santdatalink.org.au/files/PDF_Files/InventoryOfLinkedData.pdf,https://www.santdatalink.org.au/files/PDF_Files/InventoryOfLinkedData.pdf
"SourceURL|https://www.santdatalink.org.au/for_researchers/application_process,","https://www.santdatalink.org.au/for_researchers/application_process,"
SourceURL|https://www.utas.edu.au/menzies/research/data-linkage-unit/datasets,https://www.utas.edu.au/menzies/research/data-linkage-unit/datasets
"SourceURL|https://www.utas.edu.au/menzies/research/data-linkage-unit/how-to-apply,","https://www.utas.edu.au/menzies/research/data-linkage-unit/how-to-apply,"
"SourceURL|https://www.act.gov.au/directorates-and-agencies/act-health/data-statistics-and-surveys/healthstats-act/data-collections/how-to-request-data,","https://www.act.gov.au/directorates-and-agencies/act-health/data-statistics-and-surveys/healthstats-act/data-collections/how-to-request-data,"
"SourceURL|https://www.cherel.org.au/apply,","https://www.cherel.org.au/apply,"
SourceURL|https://www.cherel.org.au/datasets,https://www.cherel.org.au/datasets
"SourceURL|https://health.nt.gov.au/data-and-research/health-data,","https://health.nt.gov.au/data-and-research/health-data,"
"SourceURL|https://health.nt.gov.au/data-and-research/health-data/how-to-request-data-for-secondary-use,","https://health.nt.gov.au/data-and-research/health-data/how-to-request-data-for-secondary-use,"
"SourceURL|https://health.nt.gov.au/data-and-research/nt-health-research/research-governance,","https://health.nt.gov.au/data-and-research/nt-health-research/research-governance,"
"SourceURL|https://www.santdatalink.org.au/Governance,","https://www.santdatalink.org.au/Governance,"
SourceURL|https://www.santdatalink.org.au/available_datasets,https://www.santdatalink.org.au/available_datasets
"SourceURL|https://www.phrn.org.au/,","https://www.phrn.org.au/,"
"SourceURL|https://www.phrn.org.au/data/how-to-apply/,","https://www.phrn.org.au/data/how-to-apply/,"
SourceURL|https://www.phrn.org.au/data/types-of-data/,https://www.phrn.org.au/data/types-of-data/
"SourceURL|https://www.phrn.org.au/resources/online-application-system/,","https://www.phrn.org.au/resources/online-application-system/,"
"SourceURL|https://www.aihw.gov.au/about-our-data/accessing-australian-government-data/dss-data,","https://www.aihw.gov.au/about-our-data/accessing-australian-government-data/dss-data,"
"SourceURL|https://www.cancer.nsw.gov.au/research-and-data/cancer-data-and-statistics/data-available-on-request/candle-program/how-to-access-the-candle-data/candle-data,","https://www.cancer.nsw.gov.au/research-and-data/cancer-data-and-statistics/data-available-on-request/candle-program/how-to-access-the-candle-data/candle-data,"
"SourceURL|https://www.nhmrc.gov.au/publications/synopses/r39syn.htm,","https://www.nhmrc.gov.au/publications/synopses/r39syn.htm,"
SourceURL|https://www.saxinstitute.org.au/solutions/45-and-up-study/use-the-45-and-up-study/data-and-technical-information/,https://www.saxinstitute.org.au/solutions/45-and-up-study/use-the-45-and-up-study/data-and-technical-information/
"SourceURL|https://www.saxinstitute.org.au/solutions/sure/,","https://www.saxinstitute.org.au/solutions/sure/,"
"SourceURL|https://www.saxinstitute.org.au/wp-content/uploads/20151010-Registration-information-for-SURE-virtual-project-V2.1.pdf,","https://www.saxinstitute.org.au/wp-content/uploads/20151010-Registration-information-for-SURE-virtual-project-V2.1.pdf,"
SourceURL|https://www.abs.gov.au/statistics/microdata-tablebuilder/datalab,https://www.abs.gov.au/statistics/microdata-tablebuilder/datalab
SourceURL|https://www.aihw.gov.au/getmedia/09289a1a-494b-4521-8cb9-912f51ac8e95/ten-steps-to-linkage.pdf.aspx,https://www.aihw.gov.au/getmedia/09289a1a-494b-4521-8cb9-912f51ac8e95/ten-steps-to-linkage.pdf.aspx
"SourceURL|https://www.aihw.gov.au/our-services/data-linkage/data-linkage-services,","https://www.aihw.gov.au/our-services/data-linkage/data-linkage-services,"
SourceURL|https://www.digitalhealth.gov.au/initiatives-and-programs/my-health-record/manage-your-record/privacy-and-access/secondary-use-of-data,https://www.digitalhealth.gov.au/initiatives-and-programs/my-health-record/manage-your-record/privacy-and-access/secondary-use-of-data
"SourceURL|https://phinsights.squarespace.com/s/PHNs-National-Data-Governance-Policy.pdf,","https://phinsights.squarespace.com/s/PHNs-National-Data-Governance-Policy.pdf,"
SourceURL|https://www.phncooperative.org.au/,https://www.phncooperative.org.au/
"SourceURL|https://www.primaryhealthinsights.org.au/governance-and-privacy,","https://www.primaryhealthinsights.org.au/governance-and-privacy,"
SourceURL|https://www.hisa.org.au/slides/hda/19/YuenAiLee.pdf,https://www.hisa.org.au/slides/hda/19/YuenAiLee.pdf
"SourceURL|https://www.nps.org.au/about-us/services/health-insights/medicineinsight/how-to-access,","https://www.nps.org.au/about-us/services/health-insights/medicineinsight/how-to-access,"
"SourceURL|https://www.nps.org.au/medicine-insight,","https://www.nps.org.au/medicine-insight,"
"SourceURL|https://www.nps.org.au/medicine-insight/privacy-security-governance,","https://www.nps.org.au/medicine-insight/privacy-security-governance,"
"SourceURL|https://www.safetyandquality.gov.au/newsroom/latest-news/custodianship-medicineinsight-data-collection,","https://www.safetyandquality.gov.au/newsroom/latest-news/custodianship-medicineinsight-data-collection,"
"SourceURL|https://www.safetyandquality.gov.au/our-work/indicators-measurement-and-reporting/medicineinsight,","https://www.safetyandquality.gov.au/our-work/indicators-measurement-and-reporting/medicineinsight,"
"SourceURL|https://australianclinicaltrials.gov.au/researchers/principles-and-governance,","https://australianclinicaltrials.gov.au/researchers/principles-and-governance,"
SourceURL|https://bellberry.com.au/im-a-researcher/,https://bellberry.com.au/im-a-researcher/
"SourceURL|https://pmc.ncbi.nlm.nih.au/articles/PMC12202549/,","https://pmc.ncbi.nlm.nih.au/articles/PMC12202549/,"
"SourceURL|https://www.ahmrc.org.au/wp-content/uploads/2023/10/HREC-Review-Timelines.pdf,","https://www.ahmrc.org.au/wp-content/uploads/2023/10/HREC-Review-Timelines.pdf,"
"SourceURL|https://www.nhmrc.gov.au/about-us/publications/national-statement-ethical-conduct-human-research-2025,","https://www.nhmrc.gov.au/about-us/publications/national-statement-ethical-conduct-human-research-2025,"
"SourceURL|https://www.nhmrc.gov.au/about-us/resources/human-research-ethics-committee-hrec-registration-guide,","https://www.nhmrc.gov.au/about-us/resources/human-research-ethics-committee-hrec-registration-guide,"
"SourceURL|https://www.nhmrc.gov.au/research-policy/ethics/human-research-ethics-application-form,","https://www.nhmrc.gov.au/research-policy/ethics/human-research-ethics-application-form,"
"SourceURL|https://www.nhmrc.gov.au/research-policy/ethics/human-research-ethics-committees,","https://www.nhmrc.gov.au/research-policy/ethics/human-research-ethics-committees,"
