relationship_element_id,start_node_element_id,end_node_element_id
HAS_CONNECTION_REVIEW|Custodian|custodian:abs-datalab|ConnectionReview|review:custodian:abs-datalab:1:other-data-custodians-for-integrated-dat:override-reject,Custodian|custodian:abs-datalab,ConnectionReview|review:custodian:abs-datalab:1:other-data-custodians-for-integrated-dat:override-reject
HAS_CONNECTION_REVIEW|Custodian|custodian:aihw-data-integration-services|ConnectionReview|review:custodian:aihw-data-integration-services:1:services-australia-for-mbs-pbs-data-stat,Custodian|custodian:aihw-data-integration-services,ConnectionReview|review:custodian:aihw-data-integration-services:1:services-australia-for-mbs-pbs-data-stat
HAS_CONNECTION_REVIEW|Custodian|custodian:adha|ConnectionReview|review:custodian:adha:1:australian-institute-of-health-and-welfa,Custodian|custodian:adha,ConnectionReview|review:custodian:adha:1:australian-institute-of-health-and-welfa
HAS_CONNECTION_REVIEW|Custodian|custodian:adha|ConnectionReview|review:custodian:adha:2:my-health-record-data-governance-board-i,Custodian|custodian:adha,ConnectionReview|review:custodian:adha:2:my-health-record-data-governance-board-i
HAS_CONNECTION_REVIEW|Custodian|custodian:phn-cooperative-primary-health-insights|ConnectionReview|review:custodian:phn-cooperative-primary-health-insights:1:individual-primary-health-networks-phns-,Custodian|custodian:phn-cooperative-primary-health-insights,ConnectionReview|review:custodian:phn-cooperative-primary-health-insights:1:individual-primary-health-networks-phns-
HAS_CONNECTION_REVIEW|Custodian|custodian:medicineinsight-nps-medicinewise|ConnectionReview|review:custodian:medicineinsight-nps-medicinewise:1:not-explicitly-mentioned-in-the-reviewed:override-reject,Custodian|custodian:medicineinsight-nps-medicinewise,ConnectionReview|review:custodian:medicineinsight-nps-medicinewise:1:not-explicitly-mentioned-in-the-reviewed:override-reject
HAS_CONNECTION_REVIEW|Custodian|custodian:nhmrc-hrecs|ConnectionReview|review:custodian:nhmrc-hrecs:1:1:data-custodians-e-g-aihw-state:override,Custodian|custodian:nhmrc-hrecs,ConnectionReview|review:custodian:nhmrc-hrecs:1:1:data-custodians-e-g-aihw-state:override
HAS_CONNECTION_REVIEW|Custodian|custodian:nhmrc-hrecs|ConnectionReview|review:custodian:nhmrc-hrecs:1:2:data-custodians-e-g-aihw-state:override,Custodian|custodian:nhmrc-hrecs,ConnectionReview|review:custodian:nhmrc-hrecs:1:2:data-custodians-e-g-aihw-state:override
HAS_CONNECTION_REVIEW|Custodian|custodian:nhmrc-hrecs|ConnectionReview|review:custodian:nhmrc-hrecs:2:research-institutions-universities-hrecs,Custodian|custodian:nhmrc-hrecs,ConnectionReview|review:custodian:nhmrc-hrecs:2:research-institutions-universities-hrecs
HAS_CONNECTION_REVIEW|Custodian|custodian:nhmrc-hrecs|ConnectionReview|review:custodian:nhmrc-hrecs:3:funding-bodies-may-require-hrec-approval,Custodian|custodian:nhmrc-hrecs,ConnectionReview|review:custodian:nhmrc-hrecs:3:funding-bodies-may-require-hrec-approval
HAS_CONNECTION_REVIEW|Custodian|custodian:aiatsis|ConnectionReview|review:custodian:aiatsis:1:aihw-australian-institute-of-health-and-,Custodian|custodian:aiatsis,ConnectionReview|review:custodian:aiatsis:1:aihw-australian-institute-of-health-and-
HAS_CONNECTION_REVIEW|Custodian|custodian:aiatsis|ConnectionReview|review:custodian:aiatsis:2:abs-australian-bureau-of-statistics-for-,Custodian|custodian:aiatsis,ConnectionReview|review:custodian:aiatsis:2:abs-australian-bureau-of-statistics-for-
HAS_CONNECTION_REVIEW|Custodian|custodian:aiatsis|ConnectionReview|review:custodian:aiatsis:3:other-indigenous-community-organisations,Custodian|custodian:aiatsis,ConnectionReview|review:custodian:aiatsis:3:other-indigenous-community-organisations
HAS_CONNECTION_REVIEW|Custodian|custodian:naccho-aboriginal-community-controlled-health-organisations-acchos|ConnectionReview|review:custodian:naccho-aboriginal-community-controlled-health-organisations-acchos:1:state-and-territory-health-departments-f,Custodian|custodian:naccho-aboriginal-community-controlled-health-organisations-acchos,ConnectionReview|review:custodian:naccho-aboriginal-community-controlled-health-organisations-acchos:1:state-and-territory-health-departments-f
HAS_CONNECTION_REVIEW|Custodian|custodian:naccho-aboriginal-community-controlled-health-organisations-acchos|ConnectionReview|review:custodian:naccho-aboriginal-community-controlled-health-organisations-acchos:2:australian-institute-of-health-and-welfa,Custodian|custodian:naccho-aboriginal-community-controlled-health-organisations-acchos,ConnectionReview|review:custodian:naccho-aboriginal-community-controlled-health-organisations-acchos:2:australian-institute-of-health-and-welfa
HAS_CONNECTION_REVIEW|Custodian|custodian:naccho-aboriginal-community-controlled-health-organisations-acchos|ConnectionReview|review:custodian:naccho-aboriginal-community-controlled-health-organisations-acchos:3:australian-bureau-of-statistics-abs-for-,Custodian|custodian:naccho-aboriginal-community-controlled-health-organisations-acchos,ConnectionReview|review:custodian:naccho-aboriginal-community-controlled-health-organisations-acchos:3:australian-bureau-of-statistics-abs-for-
HAS_CONNECTION_REVIEW|Custodian|custodian:naccho-aboriginal-community-controlled-health-organisations-acchos|ConnectionReview|review:custodian:naccho-aboriginal-community-controlled-health-organisations-acchos:4:indigenous-specific-human-research-ethic,Custodian|custodian:naccho-aboriginal-community-controlled-health-organisations-acchos,ConnectionReview|review:custodian:naccho-aboriginal-community-controlled-health-organisations-acchos:4:indigenous-specific-human-research-ethic
HAS_CONNECTION_REVIEW|Custodian|custodian:naccho-aboriginal-community-controlled-health-organisations-acchos|ConnectionReview|review:custodian:naccho-aboriginal-community-controlled-health-organisations-acchos:5:other-acchos-for-multi-site-studies-or-a,Custodian|custodian:naccho-aboriginal-community-controlled-health-organisations-acchos,ConnectionReview|review:custodian:naccho-aboriginal-community-controlled-health-organisations-acchos:5:other-acchos-for-multi-site-studies-or-a
HAS_CONNECTION_REVIEW|Custodian|custodian:acsqhc|ConnectionReview|review:custodian:acsqhc:1:1:aihw-for-broader-health-and-we:override,Custodian|custodian:acsqhc,ConnectionReview|review:custodian:acsqhc:1:1:aihw-for-broader-health-and-we:override
HAS_CONNECTION_REVIEW|Custodian|custodian:acsqhc|ConnectionReview|review:custodian:acsqhc:1:2:aihw-for-broader-health-and-we:override,Custodian|custodian:acsqhc,ConnectionReview|review:custodian:acsqhc:1:2:aihw-for-broader-health-and-we:override
HAS_CONNECTION_REVIEW|Custodian|custodian:ardc|ConnectionReview|review:custodian:ardc:1:data-providers-universities-medical-rese,Custodian|custodian:ardc,ConnectionReview|review:custodian:ardc:1:data-providers-universities-medical-rese
HAS_CONNECTION_REVIEW|Custodian|custodian:private-hospital-data-bureau-phdb-via-aihw-department-of-health|ConnectionReview|review:custodian:private-hospital-data-bureau-phdb-via-aihw-department-of-health:1:department-of-social-services-dss-for-da,Custodian|custodian:private-hospital-data-bureau-phdb-via-aihw-department-of-health,ConnectionReview|review:custodian:private-hospital-data-bureau-phdb-via-aihw-department-of-health:1:department-of-social-services-dss-for-da
